Class: 8, Confidence: 0.85, Box: (101, 161, 28, 23), Color: Blue
Class: 5, Confidence: 0.99, Box: (398, 168, 24, 24), Color: Red
Class: 7, Confidence: 0.98, Box: (246, 165, 25, 24), Color: Green
Class: 8, Confidence: 0.87, Box: (102, 160, 28, 23), Color: Unknown
Class: 5, Confidence: 0.98, Box: (396, 168, 25, 24), Color: Red
Class: 7, Confidence: 0.97, Box: (245, 164, 25, 25), Color: Green
Class: 8, Confidence: 0.91, Box: (100, 160, 27, 23), Color: Blue
Class: 5, Confidence: 0.99, Box: (399, 168, 24, 24), Color: Red
Class: 7, Confidence: 0.97, Box: (248, 165, 25, 24), Color: Green
Class: 8, Confidence: 0.88, Box: (102, 159, 28, 23), Color: Blue
Class: 5, Confidence: 0.99, Box: (399, 169, 24, 24), Color: Red
Class: 7, Confidence: 0.97, Box: (249, 165, 25, 24), Color: Green
Class: 8, Confidence: 0.93, Box: (107, 158, 24, 28), Color: Blue
Class: 5, Confidence: 0.99, Box: (394, 169, 25, 24), Color: Red
Class: 7, Confidence: 0.97, Box: (246, 166, 24, 25), Color: Green
Class: 8, Confidence: 0.91, Box: (100, 163, 28, 23), Color: Unknown
Class: 5, Confidence: 0.98, Box: (396, 171, 25, 23), Color: Red
Class: 7, Confidence: 0.96, Box: (247, 168, 29, 21), Color: Green
Class: 8, Confidence: 0.92, Box: (107, 161, 26, 28), Color: Blue
Class: 7, Confidence: 0.96, Box: (245, 170, 25, 23), Color: Green
Class: 5, Confidence: 0.84, Box: (392, 172, 25, 26), Color: Red
Class: 8, Confidence: 0.82, Box: (103, 167, 27, 22), Color: Unknown
Class: 7, Confidence: 0.97, Box: (246, 170, 25, 23), Color: Green
Class: 8, Confidence: 0.93, Box: (104, 167, 28, 22), Color: Blue
Class: 5, Confidence: 0.91, Box: (392, 172, 25, 26), Color: Red
Class: 7, Confidence: 0.96, Box: (247, 169, 25, 23), Color: Green
Class: 8, Confidence: 0.92, Box: (104, 165, 27, 22), Color: Blue
Class: 5, Confidence: 0.91, Box: (395, 172, 25, 23), Color: Red
Class: 7, Confidence: 0.97, Box: (246, 170, 25, 24), Color: Green
Class: 8, Confidence: 0.93, Box: (103, 166, 28, 22), Color: Blue
Class: 5, Confidence: 0.91, Box: (394, 172, 26, 23), Color: Red
Class: 7, Confidence: 0.97, Box: (246, 170, 25, 24), Color: Green
Class: 8, Confidence: 0.93, Box: (102, 166, 28, 22), Color: Blue
Class: 5, Confidence: 0.91, Box: (394, 172, 25, 23), Color: Red
Class: 7, Confidence: 0.96, Box: (247, 169, 25, 23), Color: Green
Class: 8, Confidence: 0.93, Box: (104, 165, 27, 22), Color: Blue
Class: 5, Confidence: 0.91, Box: (395, 172, 25, 23), Color: Unknown
Class: 7, Confidence: 0.97, Box: (247, 169, 25, 23), Color: Green
Class: 8, Confidence: 0.93, Box: (103, 165, 28, 22), Color: Blue
Class: 5, Confidence: 0.85, Box: (394, 172, 25, 23), Color: Red
Class: 5, Confidence: 0.99, Box: (397, 171, 25, 23), Color: Red
Class: 7, Confidence: 0.96, Box: (247, 167, 29, 21), Color: Green
Class: 8, Confidence: 0.95, Box: (107, 160, 25, 28), Color: Unknown
Class: 5, Confidence: 0.99, Box: (397, 171, 25, 23), Color: Red
Class: 7, Confidence: 0.96, Box: (247, 167, 29, 21), Color: Green
Class: 8, Confidence: 0.95, Box: (107, 160, 25, 28), Color: Blue
Class: 7, Confidence: 0.97, Box: (254, 169, 24, 24), Color: Green
Class: 5, Confidence: 0.96, Box: (400, 172, 25, 24), Color: Red
Class: 8, Confidence: 0.89, Box: (113, 163, 28, 23), Color: Blue
Class: 5, Confidence: 0.98, Box: (397, 171, 25, 23), Color: Red
Class: 7, Confidence: 0.96, Box: (250, 169, 24, 24), Color: Green
Class: 8, Confidence: 0.95, Box: (107, 163, 25, 27), Color: Blue
Class: 7, Confidence: 0.97, Box: (249, 170, 25, 23), Color: Green
Class: 5, Confidence: 0.95, Box: (396, 172, 25, 23), Color: Red
Class: 8, Confidence: 0.95, Box: (109, 164, 25, 27), Color: Unknown
Class: 7, Confidence: 0.97, Box: (249, 170, 25, 23), Color: Green
Class: 5, Confidence: 0.95, Box: (396, 172, 25, 23), Color: Red
Class: 8, Confidence: 0.95, Box: (109, 164, 25, 27), Color: Unknown
Class: 7, Confidence: 0.97, Box: (249, 170, 25, 23), Color: Green
Class: 5, Confidence: 0.95, Box: (396, 172, 25, 23), Color: Red
Class: 8, Confidence: 0.95, Box: (109, 164, 25, 27), Color: Blue
Class: 8, Confidence: 0.87, Box: (234, 159, 22, 20), Color: Red
Class: 8, Confidence: 0.91, Box: (235, 157, 24, 21), Color: Red
Class: 8, Confidence: 0.92, Box: (236, 157, 24, 21), Color: Red
Class: 8, Confidence: 0.91, Box: (236, 156, 23, 21), Color: Red
Class: 8, Confidence: 0.87, Box: (242, 155, 22, 19), Color: Red
Class: 8, Confidence: 0.88, Box: (242, 156, 24, 20), Color: Red
Class: 8, Confidence: 0.85, Box: (242, 156, 24, 20), Color: Red
Class: 8, Confidence: 0.87, Box: (241, 155, 23, 20), Color: Red
Class: 8, Confidence: 0.86, Box: (239, 156, 23, 20), Color: Red
Class: 8, Confidence: 0.91, Box: (242, 157, 24, 20), Color: Red
Class: 8, Confidence: 0.90, Box: (244, 158, 23, 19), Color: Red
Class: 8, Confidence: 0.84, Box: (245, 159, 22, 19), Color: MRed
Class: 8, Confidence: 0.97, Box: (231, 167, 25, 19), Color: Red
Class: 8, Confidence: 0.97, Box: (230, 163, 26, 20), Color: Red
Class: 8, Confidence: 0.97, Box: (230, 160, 26, 20), Color: Red
